label,count
"Canada",33
"Turkmenistan",2
"Cambodia",2
"Ethiopia",3
"The Gambia",10
"Aruba",1
"Argentina",12
"Bolivia",2
"Bahamas, The",1
"Bahrain",7
"Saudi Arabia",60
"Slovenia",17
"Guatemala",75
"Bosnia and Herzegovina",39
"Guinea",2
"Germany",132
"Virgin Islands, British",12
"Spain",58
"Liberia",8
"Netherlands",23
"Jamaica",7
"Oman",7
"Tanzania",4
"Cabo Verde",2
"Seychelles",4
"Finland",9
"New Zealand",2
"Yemen",22
"Jersey",6
"Pakistan",245
"Albania",4
"West Bank",7
"Congo, Republic of the",3
"United Arab Emirates",213
"Uruguay",3
"India",15
"Azerbaijan",4
"Region: Gaza",1
"Saint Vincent and the Grenadines",2
"Kenya",14
"Tajikistan",4
"Turkey",47
"Afghanistan",176
"Czech Republic",2
"Mauritania",2
"France",20
"Rwanda",12
"Somalia",65
"Peru",112
"Vanuatu",3
"Norway",5
"Benin",14
"Cuba",38
"Montenegro",3
"Saint Kitts and Nevis",4
"Region: Northern Mali",1
"China",71
"Armenia",3
"Dominican Republic",1
"Ukraine",51
"Ghana",1
"Cayman Islands",4
"Libya",13
"Indonesia",38
"Central African Republic",11
"United States",80
"Liechtenstein",3
"Australia",5
"Mali",9
"Russia",99
"Bulgaria",5
"undetermined",20
"Romania",5
"Angola",12
"Chad",3
"South Africa",17
"Nicaragua",4
"Sweden",6
"Malaysia",17
"Austria",6
"Mozambique",11
"Uganda",8
"Japan",17
"Brazil",17
"Palestinian",27
"Kuwait",39
"Panama",136
"Congo, Democratic Republic of the",33
"Costa Rica",9
"Luxembourg",2
"Gibraltar",1
"Ireland",1
"Nigeria",15
"Ecuador",23
"Bangladesh",4
"Belarus",38
"Iran",623
"Algeria",18
"El Salvador",13
"Marshall Islands",5
"Chile",7
"Belgium",17
"Thailand",102
"Haiti",1
"Belize",26
"Hong Kong",36
"Sierra Leone",8
"Georgia",9
"Denmark",4
"Poland",1
"Moldova",1
"Morocco",9
"Croatia",3
"Guinea-Bissau",3
"Switzerland",45
"Korea, North",69
"Iraq",198
"Kosovo",5
"Equatorial Guinea",2
"Lebanon",189
"Korea, South",4
"Uzbekistan",9
"Tunisia",38
"Djibouti",2
"Dominica",1
"Colombia",2362
"Man, Isle of",16
"Taiwan",10
"Cyprus",29
"Barbados",5
"Qatar",11
"Italy",82
"Sudan",246
"Malta",31
"Suriname",1
"Venezuela",56
"Netherlands Antilles",2
"Israel",7
"Senegal",2
"Zimbabwe",102
"Jordan",32
"Kazakhstan",2
"Philippines",26
"Eritrea",5
"Kyrgyzstan",6
"Sri Lanka",13
"Latvia",1
"South Sudan",4
"Guyana",1
"Syria",209
"Burma",252
"Honduras",65
"Mexico",2008
"Egypt",29
"Cote d Ivoire",5
"Singapore",62
"Serbia",6
"United Kingdom",155
"Greece",7
"Paraguay",12
"Comoros",2
